,userID,Mode,Application,Time,Guesses,Avg Dist,Avg Ratio,Std Dist,Avg Visual Angle,Std Visual Angle
0,61,Responsive,Article,10803,4,0.607538088078347,0.5718138202169265,0.015383348304380439,0.5072442153266509,0.019266790258872728
260,37,Responsive,Article,15321,5,0.6179660186122058,0.5656999835207546,0.009119842247835413,0.5028923096707798,0.009148965359004991
210,31,Responsive,Article,17031,4,0.6349711308283845,0.550684566038142,0.021940183514966828,0.49233608385882066,0.017656954228018735
130,33,Responsive,Article,18449,4,0.6451069008158157,0.5420253031808582,0.06930317231574887,0.4919873289692789,0.050237372329798635
408,49,Responsive,Article,18892,6,0.6385768519211856,0.5459230213663328,0.043143482136293855,0.4890889224214606,0.019817192947854258
330,41,Responsive,Article,20087,4,0.5909522865659692,0.5894967843395178,0.05627676610830516,0.5185334522085321,0.028145946087059056
240,53,Responsive,Article,22452,4,0.5995987793588424,0.5785614256597327,0.02847110686276551,0.5145548365824234,0.02175773624769297
270,39,Responsive,Article,22522,4,0.5989879266271269,0.5731827467417872,0.04072211144439414,0.5151448584066404,0.02853704909850282
60,69,Responsive,Article,24510,4,0.6366376270888117,0.5384156541680947,0.06339553408249926,0.4916931327426155,0.031233311345049048
80,51,Responsive,Article,24929,5,0.6651118031612417,0.5181483788316296,0.06518009467302899,0.47415443316417666,0.0414339020447783
340,83,Responsive,Article,26770,6,0.6905049427100252,0.5024956823043344,0.0866695784564282,0.46277134951136845,0.05195037627881806
100,67,Responsive,Article,27320,4,0.5576590215058127,0.6171924660184425,0.0756300562564532,0.5491921795045935,0.05402617417418373
50,35,Responsive,Article,29268,4,0.6069636957318175,0.578609580547919,0.022584112703019306,0.5093769018584913,0.010714013635013321
10,59,Responsive,Article,31702,5,0.671707190643389,0.5137419549513003,0.06666977899605105,0.46788407671612087,0.029250135239654848
428,47,Responsive,Article,35084,4,0.6209479776933157,0.5684558196209684,0.14906640958693587,0.5217430719824018,0.09189543495794464
388,71,Responsive,Article,35255,4,0.5980111165735229,0.5889553876100769,0.04074342730476346,0.5191979775171702,0.028675154324311246
380,85,Responsive,Article,36142,5,0.5952517854443409,0.5927597819139272,0.017519656000526608,0.5208531532595831,0.012892813085959553
220,65,Responsive,Article,50409,5,0.6124762282211409,0.5691319641316018,0.041779579786895726,0.5058627186682898,0.016345098736310498
290,63,Responsive,Article,55029,7,0.63399639026231,0.5440078393229902,0.059206741640683666,0.4945012030725987,0.038507492490185855
140,45,Responsive,Article,58152,5,0.5972233966113412,0.5799409218220394,0.04070876075565591,0.5171053122461728,0.03042833061703744
30,57,Responsive,Article,61038,6,0.7175557292182876,0.49983588853142896,0.21246938256016606,0.4812919083417099,0.08303428822545166
280,55,Responsive,Article,66382,7,0.6913906171144387,0.5097118739243501,0.07937346843217767,0.4669083766000791,0.04394459395470067
180,43,Responsive,Article,108861,12,0.6170063239422839,0.5815282729267897,0.036321902971673266,0.5096203717490544,0.024420231366074324
40,32,Static,Article,18383,6,0.5884571379745165,0.5939046639369775,0.025663427970961054,0.5231403174382152,0.018613627402775855
370,84,Static,Article,23518,7,0.6233353872969096,0.55948447929046,0.04362622683659799,0.5013744287663785,0.03079664701182539
398,82,Static,Article,23810,4,0.5906392773205619,0.5918601473343715,0.0276552216918173,0.52217337584254,0.020552436195737545
150,80,Static,Article,24712,8,0.647941178177201,0.5368561286590771,0.03977265466480576,0.4847894021567174,0.025159110872488774
110,60,Static,Article,25789,5,0.6159136731784295,0.5648854690290153,0.010780716083044217,0.5035461606064799,0.007202598456961848
200,36,Static,Article,26141,4,0.585835768771923,0.5912140875214822,0.008049525377072295,0.5233308252672582,0.005436354564063045
170,44,Static,Article,27551,6,0.6286126414927111,0.5526679664906167,0.07159821118949548,0.4984658507092803,0.04252480812768573
360,70,Static,Article,32826,4,0.6160875649010068,0.5646553217493623,0.01962143528805363,0.5036603095752104,0.013143153275010394
20,68,Static,Article,32974,9,0.6066612781490188,0.5745775824340031,0.01545115174233069,0.5100476919663757,0.010622109374961199
190,38,Static,Article,34780,4,0.5814748295224026,0.5965151659166175,0.022227373121199875,0.5274074693713418,0.01585769576073457
230,54,Static,Article,37431,4,0.6535115220384431,0.529684472993651,0.05341519740270009,0.48072838087807435,0.03352941207776167
300,64,Static,Article,38890,7,0.600220707752632,0.5757705739544606,0.05087490699673913,0.5165198263134817,0.035702058807686295
90,58,Static,Article,43152,4,0.6086779564873492,0.5785899979031128,0.04651539089762588,0.5140745871052563,0.03240319882507616
350,48,Static,Article,48873,12,0.5763841021680602,0.5980297224587958,0.15125888454151232,0.5526221184813418,0.09780736449035718
320,79,Static,Article,49997,4,0.5608003357413576,0.6234922213585617,0.02060980624388235,0.543799434001561,0.015795777578274064
120,34,Static,Article,50476,9,0.610396263053278,0.5641972677566471,0.06759369399849571,0.509531788563769,0.04444194846583793
438,78,Static,Article,51217,7,0.6020654792269124,0.5779740577950648,0.027242090008408125,0.5137113068894467,0.019581677171655272
160,86,Static,Article,56931,7,0.6563934786189564,0.5409971534015654,0.03166606903289514,0.48365128907884625,0.01588666340243665
250,30,Static,Article,57031,4,0.6091360157913882,0.5866846038851155,0.052572055006487,0.5155780114882874,0.037245770265398215
70,56,Static,Article,69299,10,0.6814442987987994,0.5179453747501497,0.06581840255939614,0.4716103019407004,0.041361743266781575
310,46,Static,Article,89602,7,0.6082851482387954,0.5837280982414315,0.052103454394694174,0.5191057795192798,0.032013236283185774
418,40,Static,Article,128797,7,0.7045955906163961,0.5030992269706492,0.18056400757323224,0.47875330642857283,0.09651954199818422
