,userID,Mode,Application,Time,Guesses
0,61,Responsive,Article,10832,4
230,37,Responsive,Article,15341,5
180,31,Responsive,Article,17061,4
120,33,Responsive,Article,18489,4
340,49,Responsive,Article,18932,6
290,41,Responsive,Article,20110,4
210,53,Responsive,Article,22481,4
240,39,Responsive,Article,22562,4
60,69,Responsive,Article,24552,4
80,51,Responsive,Article,24964,5
300,83,Responsive,Article,26800,6
50,35,Responsive,Article,29309,4
10,59,Responsive,Article,31731,5
330,71,Responsive,Article,35285,4
190,65,Responsive,Article,50450,5
260,63,Responsive,Article,55062,7
130,45,Responsive,Article,58193,5
30,57,Responsive,Article,61089,6
250,55,Responsive,Article,66416,7
160,43,Responsive,Article,108903,12
40,32,Static,Article,18431,6
100,60,Static,Article,25830,5
170,36,Static,Article,26191,4
150,44,Static,Article,27571,6
320,70,Static,Article,32855,4
20,68,Static,Article,33020,9
200,54,Static,Article,37451,4
270,64,Static,Article,38939,7
90,58,Static,Article,43191,4
310,48,Static,Article,48901,12
110,34,Static,Article,50520,9
360,78,Static,Article,51248,7
140,86,Static,Article,56972,7
220,30,Static,Article,57071,4
70,56,Static,Article,69341,10
280,46,Static,Article,89638,7
350,40,Static,Article,128845,7
