,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
0,61,Responsive,Article,2810,1,1,0.6017109304666519,0.008941279512511056,0.25,0.4154818989346173,0.39384570136712044,0.005280648494422927,2810
100,67,Responsive,Article,3040,1,1,0.5508491138617198,0.04794710613389739,0.25,0.4538447892697487,0.4284815374535696,0.0351509550208954,3040
330,41,Responsive,Article,3201,1,1,0.5822873394936323,0.10648285770755408,0.25,0.4293412943125374,0.3941987795571585,0.0041513042117095195,3201
388,71,Responsive,Article,3310,1,1,0.6438743761091521,0.04544594777029839,0.25,0.38827449775329936,0.37182738235663404,0.02478073808516187,3310
380,85,Responsive,Article,3500,1,1,0.6166204997471401,0.014638363737172574,0.25,0.4054357584649204,0.38535036705994063,0.008432062185127525,3500
260,37,Responsive,Article,3520,1,1,0.6412303311484201,0.010649838414612601,0.25,0.38987550628221085,0.37182706211895294,0.005646127160462017,3520
428,47,Responsive,Article,4040,1,1,0.5927979178726673,0.13344124975008118,0.25,0.4217288766754742,0.4140619229071104,0.08069936712121278,4040
140,45,Responsive,Article,4491,1,1,0.5844608214166429,0.014827345588140908,0.25,0.4277446679728481,0.4043874040989402,0.00927365440124881,4491
10,59,Responsive,Article,4550,1,1,0.5683919320935789,0.09104307219119112,0.25,0.4398373479355448,0.40716523437234003,0.018823807188707,4550
130,33,Responsive,Article,4590,1,1,0.6663810756471422,0.034459577616551045,0.25,0.3751607137961078,0.3597025530309003,0.017901428738727666,4590
340,83,Responsive,Article,4820,1,1,0.6805263111988703,0.07515445461218052,0.25,0.36736272482922777,0.3559166009087471,0.040878652299472566,4820
220,65,Responsive,Article,5429,1,1,0.619498213854703,0.08633684079113293,0.25,0.4035524145330868,0.3774003319786799,0.0080897890956795,5429
60,69,Responsive,Article,5469,1,1,0.6145379001444037,0.08805829815662466,0.25,0.4068097345033645,0.3805146295435652,0.015074224520256033,5469
240,53,Responsive,Article,6051,1,1,0.5578217724959056,0.015178947860564595,0.25,0.4481718217655891,0.4215580075436264,0.010116814165669142,6051
80,51,Responsive,Article,6540,1,2,0.5869261539899386,0.033133981684945836,0.25,0.4259479634712029,0.40364201010669587,0.020624363570532232,3970
290,63,Responsive,Article,6810,1,1,0.6166017349086591,0.050254096007765064,0.25,0.4054480969584589,0.38726707138619154,0.030235760534805138,6810
