,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
0,61,Responsive,Article,2810,1,1,0.60171093,0.00894128,0.25,0.415481899,0.393845701,0.005280648,2810
100,67,Responsive,Article,3040,1,1,0.550849114,0.047947106,0.25,0.453844789,0.428481537,0.035150955,3040
330,41,Responsive,Article,3201,1,1,0.582287339,0.106482858,0.25,0.429341294,0.39419878,0.004151304,3201
388,71,Responsive,Article,3310,1,1,0.643874376,0.045445948,0.25,0.388274498,0.371827382,0.024780738,3310
260,37,Responsive,Article,3520,1,1,0.641230331,0.010649838,0.25,0.389875506,0.371827062,0.005646127,3520
428,47,Responsive,Article,4040,1,1,0.592797918,0.13344125,0.25,0.421728877,0.414061923,0.080699367,4040
140,45,Responsive,Article,4491,1,1,0.584460821,0.014827346,0.25,0.427744668,0.404387404,0.009273654,4491
10,59,Responsive,Article,4550,1,1,0.568391932,0.091043072,0.25,0.439837348,0.407165234,0.018823807,4550
130,33,Responsive,Article,4590,1,1,0.666381076,0.034459578,0.25,0.375160714,0.359702553,0.017901429,4590
340,83,Responsive,Article,4820,1,1,0.680526311,0.075154455,0.25,0.367362725,0.355916601,0.040878652,4820
220,65,Responsive,Article,5429,1,1,0.619498214,0.086336841,0.25,0.403552415,0.377400332,0.008089789,5429
60,69,Responsive,Article,5469,1,1,0.6145379,0.088058298,0.25,0.406809735,0.38051463,0.015074225,5469
240,53,Responsive,Article,6051,1,1,0.557821772,0.015178948,0.25,0.448171822,0.421558008,0.010116814,6051
80,51,Responsive,Article,6540,1,2,0.586926154,0.033133982,0.25,0.425947963,0.40364201,0.020624364,3970
290,63,Responsive,Article,6810,1,1,0.616601735,0.050254096,0.25,0.405448097,0.387267071,0.030235761,6810
408,49,Responsive,Article,6960,1,1,0.674771102,0.095851521,0.25,0.370496009,0.351776715,0.025520242,6960
210,31,Responsive,Article,7000,1,1,0.649374281,0.019954831,0.25,0.384985989,0.36776856,0.010313415,7000
30,57,Responsive,Article,7968,1,1,0.541959487,0.024997595,0.25,0.461289092,0.432862722,0.017604269,7968
50,35,Responsive,Article,8469,1,1,0.596325604,0.066595746,0.25,0.419234053,0.392898703,0.007183089,8469
270,39,Responsive,Article,8670,1,1,0.551123225,0.081785339,0.25,0.453619061,0.432933843,0.058484894,8670
180,43,Responsive,Article,8818,1,1,0.637816216,0.005701234,0.25,0.39196244,0.373581764,0.003064845,8818
280,55,Responsive,Article,14920,1,1,0.680107311,0.027663805,0.25,0.367589049,0.352727046,0.013199255,14920
300,64,Static,Article,2289,1,1,0.594678334,0.021853511,0.25,0.420395339,0.39836729,0.013528757,2289
200,36,Static,Article,3230,1,1,0.586739898,0.016904954,0.25,0.426083178,0.403033243,0.010395792,3230
110,60,Static,Article,3260,1,1,0.629591993,0.011982353,0.25,0.397082559,0.378092276,0.006495123,3260
40,32,Static,Article,3983,1,1,0.577123221,0.019931655,0.25,0.433183055,0.409138634,0.01260642,3983
90,58,Static,Article,4330,1,1,0.651621385,0.039992715,0.25,0.383658372,0.367488627,0.022080861,4330
190,38,Static,Article,4550,1,1,0.562367696,0.013510622,0.25,0.444549006,0.418487902,0.008993668,4550
360,70,Static,Article,4565,1,1,0.616429746,0.020246006,0.25,0.40556122,0.385607634,0.011467571,4565
398,82,Static,Article,4970,1,1,0.611235229,0.024119499,0.25,0.409007839,0.388795786,0.01681298,4970
20,68,Static,Article,5230,1,1,0.59657485,0.010794982,0.25,0.419058899,0.396924206,0.006391127,5230
230,54,Static,Article,5730,1,1,0.632059405,0.075172704,0.25,0.395532442,0.380778136,0.040937498,5730
170,44,Static,Article,5831,1,1,0.627463331,0.056583167,0.25,0.398429658,0.381514273,0.031022384,5831
350,48,Static,Article,6211,1,1,0.573717537,0.076660434,0.25,0.435754503,0.41728374,0.0582752,6211
320,79,Static,Article,6327,1,1,0.588683533,0.008246405,0.25,0.424676394,0.40165642,0.005135764,6327
370,84,Static,Article,6500,1,1,0.665180455,0.030424155,0.25,0.375837862,0.360125751,0.01578831,6500
150,80,Static,Article,6751,1,2,0.670613435,0.06212819,0.25,0.372793008,0.359460705,0.032977016,6051
438,78,Static,Article,9679,1,1,0.631344664,0.015060372,0.25,0.395980222,0.377205981,0.008331249,9679
160,86,Static,Article,9770,1,1,0.65758577,0.00217492,0.25,0.380178543,0.363306151,0.001096442,9770
120,34,Static,Article,13876,1,1,0.55141305,0.059480591,0.25,0.453380638,0.429296152,0.040991493,13876
310,46,Static,Article,16430,1,1,0.685510091,0.046201204,0.25,0.364691933,0.350988192,0.0217593,16430
250,30,Static,Article,17181,1,1,0.650774826,0.026776113,0.25,0.384157454,0.367260264,0.013620505,17181
418,40,Static,Article,47081,1,2,0.635140888,0.099179837,0.25,0.393613456,0.381985226,0.052425301,24996
131,33,Responsive,Article,2110,2,1,0.662310814,0.006034802,0.25,0.377466281,0.360954202,0.003031228,2110
261,37,Responsive,Article,2170,2,1,0.618166674,0.006868013,0.25,0.404421672,0.384347831,0.003895587,2170
211,31,Responsive,Article,2240,2,1,0.644017393,0.013907964,0.25,0.388188274,0.370414531,0.00735514,2240
1,61,Responsive,Article,2280,2,1,0.620607443,0.00843153,0.25,0.402831134,0.382997478,0.004728623,2280
221,65,Responsive,Article,2720,2,1,0.619510346,0.011782411,0.25,0.403544512,0.383663889,0.006714032,2720
271,39,Responsive,Article,2900,2,1,0.573245356,0.010501635,0.25,0.436113432,0.411346102,0.006727591,2900
241,53,Responsive,Article,2911,2,1,0.587310863,0.008286469,0.25,0.425668953,0.402496684,0.005164285,2911
341,83,Responsive,Article,2970,2,1,0.688177669,0.086463301,0.25,0.36327828,0.353112524,0.043666997,2970
51,35,Responsive,Article,3350,2,1,0.623076739,0.005405545,0.25,0.401234687,0.381591906,0.002976768,3350
429,47,Responsive,Article,3454,2,1,0.704253823,0.190314685,0.25,0.354985649,0.362714672,0.094420201,3454
291,63,Responsive,Article,3499,2,1,0.615970794,0.05391565,0.25,0.405863399,0.387860141,0.031721994,3499
81,51,Responsive,Article,3519,2,1,0.632726686,0.07021641,0.25,0.395115309,0.379843103,0.038181201,3519
409,49,Responsive,Article,3560,2,2,0.592297791,0.023235104,0.25,0.422084978,0.399853695,0.014048926,2631
141,45,Responsive,Article,3629,2,1,0.580510666,0.015682612,0.25,0.430655308,0.406870627,0.009915091,3629
