,userID,Mode,Application,Time,Guesses,Avg Dist,Avg Ratio,Avg Visual Angle,Std Visual Angle,Std Dist
4,61,Responsive,Numpad,32460,2,0.5711885490970172,1.2629388238169603,0.8889854930610743,0.050548101850212177,0.07024870649634254
344,83,Responsive,Numpad,35529,2,0.5693714981878155,1.269961154904931,0.8901559274235669,0.05595456979008363,0.07561116882795427
384,85,Responsive,Numpad,39441,2,0.5138461663000194,1.4289421231198443,0.9355370734614477,0.03646709460378549,0.04391957300206645
134,33,Responsive,Numpad,39671,2,0.4566998306315066,1.6158719088524465,1.0056082347692825,0.14014909270469483,0.17108180066814485
264,37,Responsive,Numpad,47251,2,0.5890384853592117,1.232104445436909,0.8730918558044387,0.05104384546714679,0.059067013332549885
432,47,Responsive,Numpad,48327,2,0.5116772632256853,1.4195369374396667,0.9494777564925969,0.10405474750994995,0.1586627806849712
274,39,Responsive,Numpad,49176,2,0.5092055131742109,1.4015778761594955,0.9499739310285862,0.0636630940891849,0.0750787766907281
54,35,Responsive,Numpad,50261,2,0.6075443778242167,1.191444510824407,0.8566351541559749,0.012668291834917413,0.015942623576581112
392,71,Responsive,Numpad,50822,2,0.5465864575238084,1.3242065774676401,0.913077876814689,0.07509132910391442,0.10439900487522014
144,45,Responsive,Numpad,56871,2,0.5501974965814641,1.2982556031022532,0.9224883212480377,0.11582405369351886,0.15822221745087733
412,49,Responsive,Numpad,62051,2,0.5086298725405223,1.4276067747908479,0.9434058832882215,0.05534045454856368,0.06709450812962327
334,41,Responsive,Numpad,63151,2,0.5320698292318411,1.3534565866983863,0.9218139283488023,0.044136458496807876,0.05738655451628981
14,59,Responsive,Numpad,63330,2,0.6084408162902564,1.2040838802919196,0.8567731716995423,0.0386531375322163,0.05227485647025141
64,69,Responsive,Numpad,65100,2,0.5671030560340224,1.3200826703122512,0.8943654223976418,0.0775734072086334,0.10084337398479284
294,63,Responsive,Numpad,71281,2,0.5578605058810902,1.3065585752598907,0.902144343437727,0.06727065385456824,0.09384524758631999
104,67,Responsive,Numpad,78971,2,0.5451443224221562,1.3237880582438648,0.9208139655065025,0.10028313927319776,0.15701141733576374
84,51,Responsive,Numpad,87942,3,0.5703111798017655,1.2652386723850064,0.890355107392548,0.056613013976393546,0.0775789588190916
284,55,Responsive,Numpad,88708,2,0.6220787932157913,1.1936313969834467,0.8522681924956461,0.08456872988129444,0.11066419457988236
244,53,Responsive,Numpad,100361,3,0.48148390675278496,1.5124458791216948,0.9690190013084856,0.06931072119253537,0.08333356763405161
34,57,Responsive,Numpad,103852,2,0.7330907588086752,0.9817946589565941,0.8276310280090158,0.18885508543959645,0.38811827535417165
224,65,Responsive,Numpad,172841,2,0.5892792897331549,1.216001957831546,0.9009146614547525,0.11414736124251892,0.21150739880730118
214,31,Responsive,Numpad,214588,5,0.6408676636293353,1.1247326493179362,0.8336286923664573,0.04925315007859163,0.06954281851696227
184,43,Responsive,Numpad,272824,4,0.5125273340176,1.4033234354802406,0.949619382407012,0.10205544638971445,0.1516888507574829
204,36,Static,Numpad,25770,2,0.5510904791017599,1.301222402383103,0.9060781950498111,0.03248342680682468,0.04050111611800328
24,68,Static,Numpad,28472,2,0.6037758994652238,1.2031264500321017,0.8596022182923776,0.01999506829330023,0.026628474913881234
114,60,Static,Numpad,33905,2,0.5156600414584926,1.3911057785568557,0.9386275598807712,0.034456401848222844,0.03961168324708987
374,84,Static,Numpad,35671,2,0.5175704187028131,1.388982192956567,0.935694000284287,0.04427488488121509,0.053686430755964576
254,30,Static,Numpad,37961,2,0.48951480483667686,1.4635735624891943,0.9764097869834143,0.12102331728307483,0.17025838724712966
364,70,Static,Numpad,41760,3,0.5876564945692406,1.2251974874943659,0.8751908542193675,0.04486342549001303,0.060177059804866415
324,79,Static,Numpad,44332,2,0.5298626186531809,1.3769431576951456,0.9222148861759045,0.041174191886876224,0.05092921493375187
74,56,Static,Numpad,44600,2,0.5056645051694123,1.43757617534665,0.9508980440940844,0.09034346639203919,0.11361324947191512
44,32,Static,Numpad,45161,2,0.5346237246828,1.367883936401216,0.9184795244654973,0.046409587354758614,0.06168584730097455
174,44,Static,Numpad,48010,2,0.5637238957952118,1.3245791510603513,0.8954527686661659,0.06661757893615572,0.09046235020227947
194,38,Static,Numpad,54260,3,0.5956340124933451,1.2177871666597788,0.8667552097561377,0.03146097265245333,0.04177811324642007
422,40,Static,Numpad,57071,2,0.6003095711547911,1.2289730387316589,0.8695184926293789,0.08031897532184037,0.12067563441486828
124,34,Static,Numpad,59640,2,0.6054827041197017,1.3617821092494804,0.8776754496782222,0.10444550719135008,0.15538063856164938
94,58,Static,Numpad,61129,2,0.5114395390702058,1.4194337153614822,0.9430421355816306,0.0698115217284915,0.08914549391027858
402,82,Static,Numpad,62532,2,0.4428800651844498,1.6289785449756753,1.0113310326025509,0.08766773288728674,0.10851298714135521
304,64,Static,Numpad,63261,2,0.749800070600944,0.9834140335002641,0.7777790558813431,0.029608341334260987,0.03892926231139673
442,78,Static,Numpad,65561,2,0.5656593029941716,1.2680505904828352,0.8944239609590416,0.04234990204372232,0.057444296885794485
314,46,Static,Numpad,67589,2,0.6368683040342644,1.2076224367963122,0.8425512766263725,0.07072221635443462,0.1052164551851524
234,54,Static,Numpad,69911,2,0.49575710107090787,1.4482664119171815,0.9583138686291028,0.05693812480747254,0.06926363044053532
164,86,Static,Numpad,70781,2,0.567674568730622,1.2725256002987422,0.8910271556123851,0.03595290149323303,0.03977733226238446
154,80,Static,Numpad,81372,3,0.5371796189049501,1.3483551604435742,0.9171759139122148,0.046022895411059896,0.058634942932263956
354,48,Static,Numpad,133823,2,0.5940409616593951,1.2199717979352176,0.8857489348221217,0.10489178652832346,0.18853781473268552
