,userID,Mode,Application,Time,Guesses
4,61,Responsive,Numpad,32470,2
304,83,Responsive,Numpad,35539,2
124,33,Responsive,Numpad,39686,2
234,37,Responsive,Numpad,47270,2
244,39,Responsive,Numpad,49190,2
54,35,Responsive,Numpad,50281,2
334,71,Responsive,Numpad,50831,2
134,45,Responsive,Numpad,56893,2
344,49,Responsive,Numpad,62061,2
294,41,Responsive,Numpad,63161,2
14,59,Responsive,Numpad,63330,2
64,69,Responsive,Numpad,65121,2
264,63,Responsive,Numpad,71303,2
84,51,Responsive,Numpad,87952,3
254,55,Responsive,Numpad,88722,2
214,53,Responsive,Numpad,100381,3
34,57,Responsive,Numpad,103872,2
194,65,Responsive,Numpad,172841,2
184,31,Responsive,Numpad,214607,5
164,43,Responsive,Numpad,272845,4
174,36,Static,Numpad,25790,2
24,68,Static,Numpad,28481,2
104,60,Static,Numpad,33920,2
224,30,Static,Numpad,37981,2
324,70,Static,Numpad,41770,3
74,56,Static,Numpad,44618,2
44,32,Static,Numpad,45181,2
154,44,Static,Numpad,48031,2
354,40,Static,Numpad,57071,2
114,34,Static,Numpad,59649,2
94,58,Static,Numpad,61130,2
274,64,Static,Numpad,63271,2
364,78,Static,Numpad,65571,2
284,46,Static,Numpad,67619,2
204,54,Static,Numpad,69931,2
144,86,Static,Numpad,70791,2
314,48,Static,Numpad,133833,2
