Timestamp,What is your Participant Id?,Describe the task you found the easiest? Why?,Describe the task you found the most difficult? Why?,Did you find anything confusing about the interface?,"When the application was small, was all the content easy to read? Please explain",Did you notice any changes in the application as the size of the application changed?,"If yes, please explain what you noticed.",What would you change about the experiment?,It was easy to read with the applications.,It was easy to interact with the applications.,It was enjoyable to interact with the applications.,The tasks were easy to understand,It was easy to complete the tasks.,The content of the applications was easy to see.,Less application content would make the tasks easier.,I enjoyed the overall experience in terms of enjoyment.,The augmented reality (AR) headset was comfortable to wear.,I experienced fatigue during the experience.,Mode
2022/05/16 12:45:28 PM MDT,31,"clicking on the links, they were pretty big and hard to miss",the keyboard typing,no. not really,"yes, but maybe not for everyone.",Yes,"there was more detail as I came closer, like location on the weather app.","Nothing, it was really cool and fun.",2,2,3,2,2,2,6,2,2,6,Responsive
2022/05/16 5:27:07 PM MDT,33,It was easiest to click on the title of things,using the keyboard was super annoying ,"Nope, it seems straight forward ","No, it was super far and I had to go super close to see it and then it become apparent what everything said ",Yes,the temperature app became smaller ,"I did not like typing on the keyboard in VR, it often wouldn't delete what I tried deleting and it was really frustrating. ",2,4,4,1,1,1,1,1,1,1,Responsive
2022/05/17 11:20:33 AM MDT,35,"I don't remember the exact task name, there were a few which just asked me to press a link or click a name those were easy. It didn't require pressing a lot of buttons. ",Typing isla vista was very difficult. It was hard to press the right button on the keyboard.,I thought '<' represented delete but it was to move the cursor. It took me a while to figure out how to use the keyboard since it was so easy to mistype things.,"No, I had to move a little closer.",No,,"The buttons are very hard to press. Typing on the keyboard is very difficult, but maybe I'll get better the longer I use these devices.",2,4,4,1,1,3,5,5,3,6,Responsive
2022/05/17 2:19:27 PM MDT,37,clicking the articles,i guess trying to pin the right letter or number (calibration),not really ,"yes, everything was clear and legible",Yes,"they were better calibrated when the app was smaller, as opposed to larger ",nothing!,2,1,2,1,1,1,4,1,1,4,Responsive
2022/05/17 5:22:37 PM MDT,39,selecting an article. needed only a click,entering text. It is hard to press letters,No,No. I had to get really close to them,No,,I would reduce the lag in the VR,3,6,3,2,3,3,2,6,6,1,Responsive
2022/05/18 2:17:54 PM MDT,41,"Clicking on the titles, since they were biggest and didn't require multiple button presses.","Typing in the weather location, since it required pressing several buttons, and they didn't always register.",No.,"Yes, since there was no small font.",Yes,"Smaller text appeared; for example, the weather location appeared as I walked closer.",I'd suggest putting apps further away so the user can interact with the distance and font size changes more.,1,3,3,1,2,1,6,2,2,4,Responsive
2022/05/19 2:16:17 PM MDT,43,Putting in the phone numbers was the easiest because I am most familiar with the keypad by now.,The task that was most difficult was typing on the keyboard because I was the least familiar with that and would type the wrong letter and have to backspace.,No.,"Yes, all of the content was easy to read cause I could just get closer if the text was too small.",Yes,Different information about the app would appear the closer I got or disappear the farther I got away.,I would not do anything to change the experiment.,2,2,2,1,2,2,3,1,1,5,Responsive
2022/05/19 5:23:45 PM MDT,45,"phone numbers, because I am used to dialing phone numbers and not inputting weather data","Typing the weather location, the task was submitted even though I didn't press enter. It was confusing because I thought I might have misspelled it.",Automatic submission of answers and quickly moving to the next question,The application was small and some times popped up behind me,No,,Don't make the submissions automatic,4,3,5,2,3,4,3,2,1,1,Responsive
2022/05/26 6:39:39 PM MDT,47,Determining the current temperature on the weather application. The information was immediately available to me with no clutter.,Selecting the author of the article. I had to both (1) get closer to the application and (2) scroll down to reach the article.,"No, it was immediately clear to me how the interface worked (the closer I got, the more information was displayed to me).","Yes. When the application was small, the amount of displayed information was reduced. This seemed to allow the actual font size of the information to be larger and therefore more readable.",Yes,"Yes, as I got closer, the amount of information displayed increased. For instance, the high/low weather and location appeared in the weather app, and the author names and publish dates appeared in the article display app.",I would have liked to have some examples of applications without responsive interfaces to compare with the responsive applications.,1,2,1,1,1,1,5,1,1,7,Responsive
2022/05/18 5:31:56 PM MDT,49,the task i found the easiest was clicking on the titles of articles.,the task i found most difficult was typing because at times i wasn't sure if i was clicking the letters.,no i did not.,it was fairly easy to read some a bit too small but overall fairly easy.,No,,i would change the difficulty of using the keyboard.,2,2,2,2,1,2,2,2,1,7,Responsive
2022/05/19 7:21:59 PM MDT,51,The last task where I had to input numbers or letters into a keyboard. This was the easiest task because it was simply imputing basic information into a textbox.  ,Using Mode A would have to be the most difficult because it involved the most attention. It divided my attention between multiple stimuli and made it more difficult to focus compared to Mode A or the last task. My eyes had to attend to more stimuli on screen which made it more difficult compared to Mode B or the last task where my attention was only on a single task.  ,"Using my thumb and index finger to select things felt confusing. I understand you need a way to select things from far away without having to walk to it. But I think there could be a more simpler way of doing this as it doesn't always register the index finger and thumb motion. The interface was really huge at times and really small at other times. More example, I opened up the atlas and the Earth spawned inside of me, while I opened up the code thingy and at times it would appear in random spots. The location and size of the objects felt inconsistent.    ","When the application was small, the content was not always easy to read.  Though it could just be my eyesight the resolution of the wording felt blurry at times. It also has to do with the fact that the small font made it difficult to read. ",Yes,I think that as the size changed the code would appear ? I might has looked at an object with no code but then kept walking towards it and as it got larger suddenly a red code appeared. ,I would try and reserve a bigger room with more objects maybe. Other than that I think the experiment is ran very well.  ,4,3,2,2,2,5,2,3,2,7,Responsive
2022/05/23 5:20:39 PM MDT,53,click on the title of the articles (1 and 2 I guess). The font size was large enough to click easily. ,type the name of the location. The keyboard feels very inaccurate. ,How the lower temperature was displayed (no indication of Celsius or Fahrenheit),"It was not, the small fonts looked blurred to me",No,,The keyboard is very hard to use. If that is not related to any variable you are measuring I would provide a simpler UI (maybe speech),5,6,6,2,6,6,6,6,2,5,Responsive
2022/05/25 7:08:53 PM MDT,55,The task I found the easiest was choosing the titles because it didn't take much time nor did it bug a lot.,The task I found the most difficult was typing the numbers and letters because the interface was super sensitive and made it hard to press the numbers and letters.,I found typing the most confusing because it would be hard to press the right letters or numbers and I kept pressing more than what's needed.,When it was small it was hard to read the contest so  I went closer to the application to make it easier to read.,Yes,I noticed that  over the tasks the words or applications got bigger which made it a lot easier to read.,I would change the sensitivity to the keyboard and make it easier to press the applications or keyboards etc.,4,4,3,2,3,3,3,3,2,6,Responsive
2022/05/25 5:48:12 PM MDT,57,non-typing tasks were easy,the ones where I had to type into the keyboard,"Yup the interface suddenly turned around, I did not realize that could happen. And the instructions were only on one side. So that was confusing until I figured out I could flip it around again.","Yes. As I went closer, I found that it was more clearer and easier to read.",Yes,"As I went closer, I could observe more details.",I had to keep searching for the start task window every time I completed another task. Maybe having a pointer to where it is would make finding it easier.,2,2,2,2,2,2,4,2,3,4,Responsive
