,userID,Mode,Application,Time,Guesses,Avg Dist,Avg Ratio,Time_To_First_Guess,Std Dist,Avg Visual Angle,Std Visual Angle
6,61,Responsive,Numpad,53253,22,0.6832699364177545,0.7330587981714789,,0.10814238059546223,0.6168235433051725,0.06333598443738098
434,47,Responsive,Numpad,60275,25,0.648337566807247,0.7758875097589581,,0.2432361852322695,0.6624325510544273,0.12128804175807147
296,63,Responsive,Numpad,79741,26,0.6036620218836531,0.8315130903700171,,0.14877672415750534,0.6760646151468198,0.1032266905678569
106,67,Responsive,Numpad,87546,26,0.6552629235125419,0.8494632984234699,,0.27135469798177086,0.6859672711686611,0.13534554456022455
66,69,Responsive,Numpad,96772,41,0.631240185561267,0.8060088998975777,,0.12638225060815672,0.6591579755514855,0.09091351591322931
336,41,Responsive,Numpad,100982,30,0.6966916276223049,0.7568479873463829,,0.06568251684307941,0.6131894643180655,0.03541849017597213
16,59,Responsive,Numpad,101432,31,0.6365476287208246,0.7901557096493107,,0.04349019526428705,0.6414866107842448,0.02954436637014535
146,45,Responsive,Numpad,103221,26,0.7592220429275454,0.658576541153313,,0.2287553739971062,0.58532636132977,0.11124139146137137
186,43,Responsive,Numpad,112282,36,0.5980235374283969,0.8280732820553043,,0.14192663571952518,0.678926329338521,0.09244120633685055
86,51,Responsive,Numpad,115233,34,0.631340377406397,0.789720833485867,,0.14737067583225075,0.6598341888649291,0.09942964607476983
36,57,Responsive,Numpad,116041,48,0.6675569826784806,0.7821905295986249,,0.36206480031056704,0.6901944401332352,0.20004732065921385
136,33,Responsive,Numpad,121581,30,0.6012574059463555,0.9196260164416387,,0.28377928176489897,0.7242984549814655,0.15702334364179768
414,49,Responsive,Numpad,125243,26,0.5609262550410964,0.8883492727524539,,0.13513811841532775,0.7126665360876233,0.10644499873813733
56,35,Responsive,Numpad,168006,40,0.5672397977378837,0.8596596400946034,,0.04428418831831419,0.6944803450727549,0.044853697912422275
394,71,Responsive,Numpad,174202,52,0.6267368001179343,0.8351904077966749,,0.1248335504124744,0.6629237467073275,0.0756170603615167
276,39,Responsive,Numpad,184813,24,0.6414537789988142,0.809622404887015,,0.14330930715634685,0.6552236626782194,0.09331402916831671
346,83,Responsive,Numpad,186372,58,0.6374743298909062,0.7724474150364044,,0.12223031389080231,0.6457887271068206,0.07367370544576281
216,31,Responsive,Numpad,269733,47,0.70950510312632,0.7226562042152106,,0.06601159675439576,0.5970577561018581,0.03944573249357853
226,65,Responsive,Numpad,278465,142,0.5816975146090749,0.8961856220885182,,0.13514750490717034,0.6956063250445462,0.08541202133849446
246,53,Responsive,Numpad,301113,57,0.6906501088584962,0.7408311158220514,,0.11840486076769297,0.6187542107099958,0.06693976443057865
286,55,Responsive,Numpad,322457,88,0.6934365155015657,0.7109665765935445,,0.22621134417664499,0.6363518476108456,0.14737831558602899
266,37,Responsive,Numpad,480295,74,0.6463947543029537,0.7928137100222433,,0.14096499668558868,0.6506337570183719,0.08716643262993612
206,36,Static,Numpad,44899,26,0.5956219279981639,0.8346852289330823,,0.061219345218574056,0.6700443677560121,0.042352900080142496
