,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
6,61,Responsive,Weather,10441,1,2,0.7319696629890288,0.11662331237250384,0.30000001192092896,0.4098530678113986,0.39609594880648086,0.05285607743393755,8225
136,33,Responsive,Weather,11961,1,2,0.7750892688830694,0.34757487817194754,0.30000001192092896,0.3870522067132208,0.4260619141513686,0.1593903896241682,11110
434,47,Responsive,Weather,12004,1,2,0.6982296026986221,0.28117891477785284,0.30517242540573253,0.4370660084107814,0.4441783338868142,0.11718057331225923,9584
276,39,Responsive,Weather,12670,1,2,0.7417578369379043,0.17581263283620363,0.30000001192092896,0.4044446812444574,0.4006303951712285,0.08291642224195174,11960
16,59,Responsive,Weather,12930,1,2,0.6720345756871914,0.04410652157084115,0.30000001192092896,0.44640562074378815,0.4211302744239434,0.02335726035194365,12380
336,41,Responsive,Weather,15310,1,2,0.8314157051294029,0.11169293782705371,0.30000001192092896,0.3608303404302863,0.3515678714490248,0.044869805928452036,13880
146,45,Responsive,Weather,15790,1,2,0.7792667856341914,0.2342154907394569,0.30000001192092896,0.3849772856375236,0.38971861444939065,0.08742399077338175,14820
106,67,Responsive,Weather,16354,1,2,0.8875950346519421,0.40413919066057563,0.30000001192092896,0.33799198982514556,0.37776132247212973,0.13009379899020787,14904
66,69,Responsive,Weather,17451,1,2,0.7116932577946606,0.11017978852078124,0.30000001192092896,0.4215299339079669,0.40624011329289894,0.056329657552930075,16321
86,51,Responsive,Weather,18460,1,2,0.6523988434689583,0.2179323506972642,0.30000001192092896,0.45984142204446327,0.4664794768652367,0.1394297918845281,17761
394,71,Responsive,Weather,19260,1,4,0.7308871182235511,0.1770793505474244,0.30000001192092896,0.4104601168099533,0.40324899144813864,0.06677838198369092,14460
286,55,Responsive,Weather,24041,1,2,0.6949826940308492,0.23208670708600165,0.30000001192092896,0.43166544217230884,0.4540845986863765,0.18026216090340666,23151
36,57,Responsive,Weather,24251,1,2,0.8011826407728773,0.4499496402736599,0.30000001192092896,0.37444647032233225,0.44502927469840475,0.20744881392747067,21910
226,65,Responsive,Weather,24790,1,2,0.6076402967577582,0.21152872172620032,0.30000001192092896,0.4937131614240635,0.4892421659331758,0.11539191751951358,24740
414,49,Responsive,Weather,29941,1,2,0.4654873502881903,0.12908342336862083,0.30000001192092896,0.6444858528060846,0.594269482690216,0.1134526223834392,28681
296,63,Responsive,Weather,31029,1,8,0.5709976792935557,0.13276392785731875,0.30000001192092896,0.5253962017710687,0.49799677815456844,0.08150554194221377,22089
56,35,Responsive,Weather,47031,1,2,0.5258110232989897,0.08655657272597686,0.30000001192092896,0.5705472092210992,0.5297581918690977,0.09584193862944232,45191
186,43,Responsive,Weather,62186,1,17,0.5927481323379238,0.09445101446863832,0.30000001192092896,0.5061171778604608,0.4749352230920517,0.051437126152558604,21885
216,31,Responsive,Weather,104111,1,20,0.7193034552424961,0.05917629303820108,0.30000001192092896,0.41707016660971147,0.3975392231903724,0.0356208964935492,15169
346,83,Responsive,Weather,104122,1,22,0.6241502979710343,0.08322382082926051,0.30000001192092896,0.4806534786511492,0.45235432997585234,0.03935999296696555,10890
246,53,Responsive,Weather,211203,1,23,0.7902759432402027,0.19598966341034432,0.30000001192092896,0.3796142530808945,0.38056960386353644,0.08402541937786528,10629
266,37,Responsive,Weather,407932,1,51,0.7268964452266693,0.1872063398550976,0.30000001192092896,0.41271354935210813,0.4112097956631108,0.09688056440598196,14635
46,32,Static,Weather,10301,1,2,0.6199546891705596,0.1742331673797476,0.30000001192092896,0.48390635180500113,0.4758920122400807,0.11737892715654222,9271
326,79,Static,Weather,12171,1,2,0.5955105461323974,0.12080441379084698,0.30000001192092896,0.5037694359391433,0.4781464927661804,0.07169664284139567,11120
316,46,Static,Weather,14455,1,2,0.613819827255975,0.161806944601549,0.30000001192092896,0.48874278509713737,0.4758476069335219,0.10782286056295197,12900
256,30,Static,Weather,16911,1,2,0.5632728260474608,0.25381213349111204,0.30000001192092896,0.532601606269661,0.5396467744359624,0.15494808037978045,15861
206,36,Static,Weather,17079,1,8,0.5824982105329242,0.04968185853665288,0.30000001192092896,0.5150230618673673,0.4777010515397892,0.031332007859476325,9769
404,82,Static,Weather,17190,1,2,0.6104310496944333,0.2767944340712414,0.30000001192092896,0.49145601632010943,0.5126458866858948,0.16572090934560993,15640
236,54,Static,Weather,18700,1,2,0.6298251568130279,0.13281932746734618,0.30000001192092896,0.47632268840920244,0.46014576551724645,0.09634968612758368,17671
366,70,Static,Weather,18979,1,2,0.595812042444998,0.08609148036152298,0.30000001192092896,0.5035145155674212,0.4722667349719535,0.05130472647932822,17520
96,58,Static,Weather,20411,1,6,0.5872636444997725,0.23846527710041762,0.30000001192092896,0.5108438343334996,0.5313345095439419,0.20928061359466865,15470
196,38,Static,Weather,20441,1,4,0.6248089067360736,0.07111748675697518,0.30000001192092896,0.48014682359138067,0.45100633377442045,0.036228575587561485,14320
376,84,Static,Weather,24120,1,8,0.5786440069574664,0.11899812299373642,0.30000001192092896,0.5184535021771696,0.4887758981548595,0.06535331866213126,17470
126,34,Static,Weather,24811,1,8,0.5510833165945229,0.21951312153683297,0.30000001192092896,0.5443823154996063,0.5367982784586303,0.12915903873965268,8070
116,60,Static,Weather,25040,1,2,0.5611281223662753,0.03154660285837691,0.30000001192092896,0.534637277946131,0.49197572194594413,0.023086056425395438,24580
444,78,Static,Weather,25270,1,3,0.5474877369464248,0.11410918739056135,0.30000001192092896,0.547957500553635,0.5141238456510315,0.08158575998333388,14399
424,40,Static,Weather,29206,1,2,0.651154225641507,0.1958273798884574,0.30000001192092896,0.46072036409711326,0.4562271331132717,0.10059869752595908,28206
306,64,Static,Weather,31891,1,2,0.4790089851840375,0.0870990305914485,0.30000001192092896,0.6262930784182839,0.5705623008225934,0.08970131349307821,30841
26,68,Static,Weather,32110,1,2,0.5290184809785997,0.12952679792755292,0.30000001192092896,0.5670879613997167,0.5358270321332873,0.11053637951939159,30490
156,80,Static,Weather,44050,1,6,0.5822855059975731,0.16302301791711335,0.30000001192092896,0.5152111959355198,0.5008923589850884,0.12250783395929635,39060
166,86,Static,Weather,44681,1,2,0.5937609681520387,0.09708008867164884,0.30000001192092896,0.5052538445809573,0.47730198962023157,0.07427823951626342,43471
176,44,Static,Weather,48730,1,24,0.47740508139912174,0.13643153335623456,0.30000001192092896,0.6283971905823138,0.5865214425239595,0.14051013919580066,5580
356,48,Static,Weather,63291,1,15,0.5377246755737175,0.23700925518119215,0.30000001192092896,0.5579063516117209,0.5569579714708122,0.1797461474496353,12411
277,39,Responsive,Weather,21271,2,11,0.5864572621022279,0.10769423935525961,0.4300000071525574,0.7332162715679735,0.6431776629394381,0.09099360237750634,10090
187,43,Responsive,Weather,21707,2,11,0.5763115811515862,0.15142955703480246,0.4300000071525574,0.7461241821539158,0.6582714194385042,0.10267149516089805,8726
297,63,Responsive,Weather,29651,2,11,0.6520692535213657,0.10362129716688993,0.4300000071525574,0.6594391697360839,0.5903504802013929,0.06639754839839533,11921
435,47,Responsive,Weather,31811,2,16,0.5654591921887366,0.18593746096071848,0.4300000071525574,0.7604439243230725,0.6703140632620163,0.09538139084738191,8700
7,61,Responsive,Weather,32661,2,17,0.5999815242845308,0.09518197078075398,0.4300000071525574,0.7166887474832264,0.6285130066117205,0.06287685327127213,10639
287,55,Responsive,Weather,34721,2,18,0.5549293558714222,0.124108453364493,0.42960245365031996,0.7741570149513938,0.6701554543283406,0.0798136681284167,8131
87,51,Responsive,Weather,38911,2,15,0.5879609216328548,0.09208746402905947,0.4300000071525574,0.7313411339624127,0.6379373101781036,0.0636253560510006,8781
107,67,Responsive,Weather,49682,2,21,0.5249544172281947,0.13657005882330778,0.42972516572500635,0.8185951991679447,0.6996741637324828,0.08837531640780219,20061
17,59,Responsive,Weather,52891,2,19,0.5996516369949512,0.035670979791536356,0.4300000071525574,0.717083020580794,0.6231986052849807,0.02809791263004304,11816
147,45,Responsive,Weather,53470,2,19,0.7292489540432731,0.2665161711092684,0.4300000071525574,0.5896477530320071,0.5664381227960059,0.12959265758342564,30900
137,33,Responsive,Weather,54370,2,15,0.539923290945518,0.22874131158801334,0.4300000071525574,0.7964094425331011,0.7089426044327057,0.1392737274060279,14340
67,69,Responsive,Weather,56261,2,36,0.5421563303880109,0.08850298975098797,0.4300000071525574,0.793129182582475,0.6786842831740989,0.08643455916956747,17080
347,83,Responsive,Weather,60360,2,30,0.6028846718370915,0.13295101452016556,0.4300000071525574,0.713237584631692,0.6316099958426179,0.0813280427993565,14090
267,37,Responsive,Weather,62913,2,20,0.5893925905429369,0.14739562085265143,0.4300000071525574,0.7295646637777543,0.646274970385104,0.09628071759336275,2912
227,65,Responsive,Weather,69891,2,30,0.6273069369447667,0.06994974977530868,0.4300000071525574,0.6854698742003839,0.6044962143459041,0.049831022895753474,10040
37,57,Responsive,Weather,71931,2,43,0.5672971229435819,0.23857035197406526,0.4300000071525574,0.7579802360381813,0.6834759135422975,0.15022600012858606,18790
337,41,Responsive,Weather,72041,2,25,0.6330112926716994,0.062168784900634426,0.42980798352592275,0.6789894406336213,0.5992718763072932,0.04301647035437497,14540
247,53,Responsive,Weather,75810,2,31,0.592941706108842,0.06462759342571664,0.42981376074105077,0.724883671215654,0.6303554258380563,0.04349277191098639,16489
415,49,Responsive,Weather,82331,2,21,0.6547420937015165,0.1567981677251805,0.4300000071525574,0.6567471547790626,0.5993095900392643,0.11238666815481846,11380
395,71,Responsive,Weather,83161,2,27,0.5811306862640626,0.09913734972029319,0.4300000071525574,0.7399368460765944,0.6455997192172249,0.07953076767880986,10280
57,35,Responsive,Weather,106545,2,35,0.5428467563177385,0.03125367496793579,0.4300000071525574,0.7921204320522277,0.6708828535904525,0.02718768043848234,9960
217,31,Responsive,Weather,156492,2,24,0.7591247431689424,0.12341233704526945,0.4300000071525574,0.5664418279366522,0.5238807745091941,0.070995648472869,6510
207,36,Static,Weather,17010,2,11,0.5981258085211179,0.05530252855850263,0.4300000071525574,0.7189123107992011,0.6256426438153581,0.03781140156012424,5180
97,58,Static,Weather,20410,2,14,0.5954585414175132,0.10569911071610405,0.4300000071525574,0.7221325705210726,0.6336684901546944,0.06982695768153917,5860
357,48,Static,Weather,20420,2,11,0.6537085215354188,0.3291612902872826,0.4300000071525574,0.6577855312985382,0.6298915909730185,0.13699734368714211,9341
445,78,Static,Weather,21971,2,11,0.5874420170173636,0.08411065818822736,0.4300000071525574,0.7319871488522541,0.637494420077884,0.05981699754562846,8330
197,38,Static,Weather,27605,2,13,0.6564001539089243,0.132153526890763,0.4300000071525574,0.6550882180509361,0.591113169057091,0.07847088925974995,8160
