,unixTime,systemTime,isResponsive,eventName,task_number,task_type,object_scale,object_position,correct_answer,guess,frameTime,userID
0,1653325566402,10-06-06-40,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': -0.01604645512998104, 'y': 0.025745052844285965, 'z': 0.6394069790840149}",2nd Title,,1653325566491,61.0
1,1653325572982,10-06-12-98,True,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': -0.01604645512998104, 'y': 0.025745052844285965, 'z': 0.6394069790840149}",2nd Title,,1653325566591,61.0
2,1652807285117,10-08-05-11,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.058192841708660126, 'y': 0.023919163271784782, 'z': 0.7061235904693604}",2nd Title,,1653325566691,35.0
3,1652807292737,10-08-12-73,True,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.058192841708660126, 'y': 0.023919163271784782, 'z': 0.7061235904693604}",2nd Title,,1653325566793,35.0
4,1652980896629,10-21-36-62,False,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.030493268743157387, 'y': 0.012598225846886635, 'z': 0.6395078897476196}",2nd Title,,1653325566901,70.0
5,1652980907262,10-21-47-26,False,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.030493268743157387, 'y': 0.012598225846886635, 'z': 0.6395078897476196}",2nd Title,,1653325566991,70.0
6,1653430454718,15-14-14-71,False,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': -0.018974892795085907, 'y': 0.03968629613518715, 'z': 0.7177157402038574}",2nd Title,,1653325567093,48.0
7,1653430462788,15-14-22-78,False,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': -0.018974892795085907, 'y': 0.03968629613518715, 'z': 0.7177157402038574}",2nd Title,,1653325567191,48.0
8,1652899441311,11-44-01-31,False,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.21994057297706604, 'y': -0.01243835873901844, 'z': 0.15932810306549072}",2nd Title,,1653325567291,56.0
9,1652899449561,11-44-09-56,False,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.21994057297706604, 'y': -0.01243835873901844, 'z': 0.15932810306549072}",2nd Title,,1653325567392,56.0
10,1653330109249,11-21-49-24,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.06384409964084625, 'y': 0.01819314807653427, 'z': 0.7075738310813904}",2nd Title,,1653325567491,83.0
11,1653330114399,11-21-54-39,True,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.06384409964084625, 'y': 0.01819314807653427, 'z': 0.7075738310813904}",2nd Title,,1653325567593,83.0
12,1653008125468,17-55-25-46,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.020655199885368347, 'y': 0.0199978556483984, 'z': 0.6333338022232056}",2nd Title,,1653325567702,51.0
13,1653008135748,17-55-35-74,True,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.020655199885368347, 'y': 0.0199978556483984, 'z': 0.6333338022232056}",2nd Title,,1653325567792,51.0
14,1653008139718,17-55-39-71,True,answer,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.020655199885368347, 'y': 0.0199978556483984, 'z': 0.6333338022232056}",2nd Title,4th Title,1653325567892,51.0
15,1652904596507,13-09-56-50,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.00985654629766941, 'y': 0.011735139414668083, 'z': 0.537356436252594}",2nd Title,,1653325567991,41.0
16,1652904601546,13-10-01-54,True,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.00985654629766941, 'y': 0.011735139414668083, 'z': 0.537356436252594}",2nd Title,,1653325568092,41.0
17,1652894757583,10-25-57-58,False,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.05424434691667557, 'y': 0.044334668666124344, 'z': 0.5458780527114868}",2nd Title,,1653325568191,58.0
18,1652894765511,10-26-05-51,False,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.05424434691667557, 'y': 0.044334668666124344, 'z': 0.5458780527114868}",2nd Title,,1653325568292,58.0
19,1653088250185,16-10-50-18,False,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.000685511389747262, 'y': 0.002232290804386139, 'z': 0.7503577470779419}",2nd Title,,1653325568392,46.0
20,1653088256965,16-10-56-96,False,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.000685511389747262, 'y': 0.002232290804386139, 'z': 0.7503577470779419}",2nd Title,,1653325568492,46.0
21,1653093114273,17-31-54-27,False,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.003182097803801298, 'y': -0.006482614204287529, 'z': 0.639610230922699}",2nd Title,,1653325568592,60.0
22,1653093121561,17-32-01-56,False,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.003182097803801298, 'y': -0.006482614204287529, 'z': 0.639610230922699}",2nd Title,,1653325568692,60.0
23,1653422647386,13-04-07-38,False,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': -0.011288335546851158, 'y': 0.01961761713027954, 'z': 0.5865600109100342}",2nd Title,,1653325568792,64.0
24,1653422653867,13-04-13-86,False,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': -0.011288335546851158, 'y': 0.01961761713027954, 'z': 0.5865600109100342}",2nd Title,,1653325568892,64.0
25,1653342430858,14-47-10-85,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.020692521706223488, 'y': 0.014696204103529453, 'z': 0.658301055431366}",2nd Title,,1653325568992,71.0
26,1653342438698,14-47-18-69,True,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.020692521706223488, 'y': 0.014696204103529453, 'z': 0.658301055431366}",2nd Title,,1653325569092,71.0
27,1652747519266,17-31-59-26,False,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.06302891671657562, 'y': 0.0215400829911232, 'z': 0.7240810394287109}",2nd Title,,1653325569192,34.0
28,1652747526727,17-32-06-72,False,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.06302891671657562, 'y': 0.0215400829911232, 'z': 0.7240810394287109}",2nd Title,,1653325569296,34.0
29,1652829240506,16-14-00-50,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.01994680054485798, 'y': -0.0024669524282217026, 'z': 0.63986736536026}",2nd Title,,1653325569392,39.0
30,1652829254176,16-14-14-17,True,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.01994680054485798, 'y': -0.0024669524282217026, 'z': 0.63986736536026}",2nd Title,,1653325569492,39.0
31,1652743229516,16-20-29-51,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.010610290803015232, 'y': 0.01864774152636528, 'z': 0.6817968487739563}",2nd Title,,1653325569591,33.0
32,1652743234566,16-20-34-56,True,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.010610290803015232, 'y': 0.01864774152636528, 'z': 0.6817968487739563}",2nd Title,,1653325569692,33.0
33,1652818003543,13-06-43-54,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.045453257858753204, 'y': 0.06533057987689972, 'z': 0.5825995802879333}",2nd Title,,1653325569792,37.0
34,1652818005393,13-06-45-39,True,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.045453257858753204, 'y': 0.06533057987689972, 'z': 0.5825995802879333}",2nd Title,,1653325569892,37.0
35,1653002013139,16-13-33-13,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.004154421389102936, 'y': 0.03434000536799431, 'z': 0.66644686460495}",2nd Title,,1653325569992,45.0
36,1653002021919,16-13-41-91,True,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.004154421389102936, 'y': 0.03434000536799431, 'z': 0.66644686460495}",2nd Title,,1653325570093,45.0
37,1652721809045,10-23-29-04,False,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.05843022093176842, 'y': -0.006649693474173546, 'z': 0.6974416971206665}",2nd Title,,1653325570192,30.0
38,1652721816794,10-23-36-79,False,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.05843022093176842, 'y': -0.006649693474173546, 'z': 0.6974416971206665}",2nd Title,,1653325570292,30.0
39,1652995896210,14-31-36-21,False,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': -0.20427772402763367, 'y': 0.024585021659731865, 'z': 0.5980373620986938}",2nd Title,,1653325570391,44.0
40,1652995909560,14-31-49-56,False,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': -0.20427772402763367, 'y': 0.024585021659731865, 'z': 0.5980373620986938}",2nd Title,,1653325570492,44.0
41,1653347126843,16-05-26-84,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.021247876808047295, 'y': 0.056042205542325974, 'z': 0.6811320185661316}",2nd Title,,1653325570592,53.0
42,1653347136313,16-05-36-31,True,start,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': 0.021247876808047295, 'y': 0.056042205542325974, 'z': 0.6811320185661316}",2nd Title,,1653325570692,53.0
43,1652990669694,13-04-29-69,True,instruction,0,Article Display,"{'x': 0.25, 'y': 0.25, 'z': 0.25}","{'x': -0.014209861867129803, 'y': 0.031417135149240494, 'z': 0.7289659976959229}",2nd Title,,1653325570792,43.0
