,hPos,aPos,unixTime,Distance
231,"{'x': -0.01775497943162918, 'y': -0.015877075493335724, 'z': 0.008833877742290497}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088273736,0.5959566488149171
232,"{'x': -0.018494363874197006, 'y': -0.016238953918218613, 'z': 0.008122801780700684}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088273835,0.5966896829374067
233,"{'x': -0.018851354718208313, 'y': -0.017031922936439514, 'z': 0.007158748805522919}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088273925,0.5976955192361314
234,"{'x': -0.018990008160471916, 'y': -0.016451088711619377, 'z': 0.006579272449016571}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088274035,0.5982455893811677
235,"{'x': -0.018528582528233528, 'y': -0.014570302329957485, 'z': 0.007398843765258789}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088274125,0.5973312715448738
236,"{'x': -0.01848461665213108, 'y': -0.013660099357366562, 'z': 0.009337134659290314}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088274225,0.5953521905255209
237,"{'x': -0.019267816096544266, 'y': -0.013257027603685856, 'z': 0.01147036999464035}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088274335,0.5932087728158796
238,"{'x': -0.0203431136906147, 'y': -0.012798856943845749, 'z': 0.013472020626068115}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088274435,0.5911984611457533
239,"{'x': -0.022066796198487282, 'y': -0.012288350611925125, 'z': 0.014599829912185669}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088274535,0.5900691708832492
240,"{'x': -0.024918310344219208, 'y': -0.011935914866626263, 'z': 0.014903828501701355}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088274625,0.5897943766805932
241,"{'x': -0.02701706625521183, 'y': -0.012116909958422184, 'z': 0.014816880226135254}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088274725,0.5899306291529904
242,"{'x': -0.028363458812236786, 'y': -0.012513214722275734, 'z': 0.014421463012695312}","{'x': -0.014312457293272018, 'y': 0.013834120705723763, 'z': 0.6040394902229309}",1653088274825,0.590373636554963
